id,title,accuracy,recall_rate
1,阿图尔·叔本华,0.6,0.75
2,深度学习,0.4,0.3333333333333333
3,巴黎圣母院,0.4,0.5714285714285714
4,黑洞,0.2,0.25
5,神经元,0.4,0.6666666666666666
6,外星人,0.6,0.6
7,计算机科学,0.2,0.3333333333333333
8,卷积神经网络,0.4,0.6666666666666666
9,奥卡姆剃刀,0.5,0.625
10,维克多雨果,0.6,0.6
11,计算机图形学,0.3,0.5
12,计算机视觉,0.3,0.5
13,决策树,0.2,0.4
14,机器学习,0.3,0.42857142857142855
15,微信小程序,0.2,0.5
16,华南理工大学,0.5,0.5555555555555556
17,宪法,0.4,0.6666666666666666
18,言论自由,0.3,0.5
19,多重宇宙论	,0.3,0.3
20,双缝实验,0.5,0.625
21,信息检索,0.4,0.6666666666666666
22,广州,0.4,0.6666666666666666
23,室内设计,0.5,0.625
24,经济学,0.4,0.5
25,三维模型,0.2,0.4
26,计算机辅助药物设计	药物,0.9,0.6923076923076923
27,华为,1.0,0.7142857142857143
28,海思半导体,0.3,0.5
29,电气电子工程师学会,0.7,0.7777777777777778
30,线性表,0.5,0.7142857142857143
31,儿童节,0.3,0.5
32,栈	,0.2,0.5
33,二叉树,0.5,0.7142857142857143
34,强化学习,0.4,0.5
35,遗传算法,0.4,0.6666666666666666
36,云计算,0.4,0.5714285714285714
37,数据挖掘,0.4,0.5714285714285714
38,显卡,0.5,0.8333333333333334
39,智慧医疗,0.6,0.75
40,区块链,0.4,0.5
41,total,0.425,0.5723905723905723
